SUBMISSION_ID,COMMON_NAME,SCIENTIFIC_NAME,TAXONOMIC_ORDER,COUNT,STATE_PROVINCE,COUNTY,LOCATION_ID,LOCATION,LATITUDE,LONGITUDE,DATE,TIME,PROTOCOL,DURATION_MIN,ALL_OBS_REPORTED,DISTANCE_TRAVELED_KM,AREA_COVERED_HA,NUMBER_OF_OBSERVERS,BREEDING_CODE,OBSERVATION_DETAILS,CHECKLIST_COMMENTS,ML_CATALOG_NUMBERS,PROVINCE_FR,PROVINCE_EN,COUNTRY_FR,COUNTRY_EN,DATE_FR,DATE_EN,MJD,MJD_END,LOCSTR,ENGLISH_NAME,ORDER,FAMILY,SORT,EBIRD_CODE,SCIENTIFIC_NAME_NOSSP,YEAR
S18566223,Nandou d'Amérique,Rhea americana,8,2,UY-RO,nan,L604216,Cabo Polonio,-34.4060599,-53.7775612,2006-12-28,03:00 PM,eBird - Traveling Count,60,1,2.,nan,1,nan,nan,nan,nan,Rocha,Rocha,Uruguay,Uruguay,7 jui 2000,"July 21st, 2000",54097.625,54097.666666666664,342421S534639W,Greater Rhea,Rheiformes,Rheidae,8,grerhe1,Rhea americana,2006
S5772585,Nandou de Darwin,Rhea pennata,14,3,CL-AN,Calama,L724725,Geisers del Tatio,-22.3357862,-68.0125809,2009-01-02,07:30 AM,Historical,120,0,nan,nan,1,nan,nan,nan,22502431 22502511,Antofagasta,Antofagasta,Chili,Chile,,,54833.3125,54833.395833333336,222008S680045W,Lesser Rhea,Rheiformes,Rheidae,14,lesrhe2,Rhea pennata,2009
S5772584,Nandou de Darwin,Rhea pennata,14,15,CL-MA,Laguna Blanca,L4593108,Villa Tehuelches,-52.4562448,-71.3375545,2008-12-19,12:00 PM,eBird - Stationary Count,30,1,nan,nan,2,nan,nan,nan,20473761,Magallanes,Magallanes,Chili,Chile,,,54819.5,54819.520833333336,522722S712015W,Lesser Rhea,Rheiformes,Rheidae,14,lesrhe2,Rhea pennata,2008
S5772583,Nandou de Darwin,Rhea pennata,14,2,CL-MA,Punta Arenas,L3237698,"Ruta Y-510, entre Ruta 9 y Seno Otway",-52.9097302,-71.0382843,2008-12-17,03:00 PM,eBird - Traveling Count,60,1,10.,nan,1,nan,nan,nan,nan,Magallanes,Magallanes,Chili,Chile,,,54817.625,54817.666666666664,525435S710217W,Lesser Rhea,Rheiformes,Rheidae,14,lesrhe2,Rhea pennata,2008
S5772587,Tinamou perdrix,Nothoprocta perdicaria,143,1,CL-CO,La Serena,L3042071,Cerro Grande,-29.9434816,-71.2182069,2006-12-01,04:00 PM,eBird - Traveling Count,60,1,2.,nan,1,nan,nan,nan,20474601,Coquimbo,Coquimbo,Chili,Chile,,,54070.666666666664,54070.70833333333,295636S711305W,Chilean Tinamou,Tinamiformes,Tinamidae,143,chitin1,Nothoprocta perdicaria,2006
S5772588,Tinamou perdrix,Nothoprocta perdicaria,143,1,CL-CO,Vicuña,L661401,Cerro El Tololo,-30.169167,-70.805278,2007-02-22,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Coquimbo,Coquimbo,Chili,Chile,,,54153.5,54153.5,301009S704819W,Chilean Tinamou,Tinamiformes,Tinamidae,143,chitin1,Nothoprocta perdicaria,2007
S5772589,Tinamou perdrix,Nothoprocta perdicaria,143,1,CL-CO,Vicuña,L832622,Cerro Pachón,-30.24,-70.734444,2008-11-07,04:15 PM,eBird - Traveling Count,30,1,1.,nan,1,nan,nan,nan,nan,Coquimbo,Coquimbo,Chili,Chile,,,54777.677083333336,54777.69791666667,301423S704403W,Chilean Tinamou,Tinamiformes,Tinamidae,143,chitin1,Nothoprocta perdicaria,2008
S18566225,Tinamou tacheté,Nothura maculosa,169,1,UY-RO,nan,L2763336,"PP Laguna de Rocha, Zona Sur y Barra",-34.679665,-54.2731855,2006-12-29,03:00 PM,eBird - Traveling Count,120,1,2.,nan,1,nan,nan,nan,22502661,Rocha,Rocha,Uruguay,Uruguay,,,54098.625,54098.708333333336,344046S541623W,Spotted Nothura,Tinamiformes,Tinamidae,169,sponot1,Nothura maculosa,2006
S18576132,Kiwi de Mantell,Apteryx mantelli,209,1,NZ-WKO,Thames-Coromandel District,L2881629,"Horse Shoe Bay, Whitianga",-36.748333,175.77444,1994-08-16,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Waikato,Waikato,Nouvelle Zélande,New Zealand,,,49580.5,49580.5,364453S1754627E,North Island Brown Kiwi,Apterygiformes,Apterygidae,209,nibkiw1,Apteryx mantelli,1994
S18576853,Kamichi cornu,Anhima cornuta,213,2,VE-Y,nan,L2881758,"Morichal largo, Tucupita",9.3747222,-62.376111,2000-06-28,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Delta Amacuro,Delta Amacuro,Vénézuela,Venezuela,,,51723.5,51723.5,092228N622233W,Horned Screamer,Anseriformes,Anhimidae,213,horscr1,Anhima cornuta,2000
