VOYAGE_FR, VOYAGE_EN, DATE1, DATE2, VOYAGE_TAG
"Californie (Été 2023)", "California (Summer 2023)", 2023-07-21,2023-08-10, 20230721
"Californie (Mars 2023)", "California (March 2023)", 2023-03-26,2023-03-31,20230326
"Arizona (Février 2023)","Arizona (February 2023)", 2023-02-19,2023-02-28, 20230221
"France (Juin-Juillet 2022)", "France (June-July 2022)", 2022-06-29, 2022-07-21, 20220629
"Chili (Avril 2022)", "Chile (April 2022"),2022-04-10,2022-04-24,20220410
"Norte Chico, Chili (Mars 2020)", "Norte Chico, Chile (March 2020)", 2020-03-01, 2020-03-12, 20200301
Cayo Santa Maria (Février 2020), Cayo Santa Maria (Feb 2020), 2020-02-21, 2020-03-01, 20200221
Colombie-Britannique (Juin-Juillet 2019), British Columbia (Summer 2019), 2019-06-21, 2019-07-10, 20190621
Genève (Avril 2019), Geneva (April 2019), 2019-04-07, 2019-04-13, 20190408
Cayo Santa Maria (Février-Mars 2019), Cayo Santa Maria (Feb-March 2019), 2019-02-25, 2019-03-04, 20190225
Victoria (Octobre 2018), Victoria (Octobre 2018), 2018-10-02, 2018-10-06,20181002
Europe (Juillet-Août 2018), Europe (Summer 2018), 2018-07-08, 2018-08-19,20180708
Hawaii (Mai 2018), Hawaii (May 2018), 2018-05-22, 2018-05-31,20180522
Mysore (Novembre 2017), Mysore (November 2017), 2017-11-02, 2017-11-12, 20171102
Tuscon (Avril 2017), Tuscon (April 2017), 2017-04-24, 2017-04-29,20170424
Floride (Mars 2017), Florida (March 2017), 2017-03-02, 2017-03-12, 20170302
Europe (Juin-Août 2016), Europe (Summer 2016), 2016-06-25, 2016-08-08,20160625
Tuscon (Avril 2016), Tuscon (April 2016), 2016-04-26, 2016-04-30,20160426
Hawaii (Juillet-Août 2015), Hawaii (Summer 2015), 2015-07-10, 2015-08-03,20150710
Floride (Mars 2014), Florida (March 2014), 2014-03-01, 2014-03-08, 20140301
Nouveau Brunswick (Juillet 2013), New Brunswick, 2013-07-14, 2013-07-22, 20130714
Europe (Juin-Août 2012), Europe (Summer 2012), 2012-06-22, 2012-08-04, 20120622
France (Décembre 2010), France (Decembre 2010), 2010-12-19, 2010-12-31,20101219
Cayo Santa Maria (Avril 2010), Cayo Santa Maria (April 2010), 2010-04-13, 2010-04-20,20100413
Atacama (Janvier 2009), Atacama (January 2009), 2008-12-27, 2009-01-04,20081227
Patagonie (Décembre 2008), Patagonia (Decembre 2008), 2008-12-16, 2008-12-24, 20081216
Île de Chiloé (Mai 2008), Chiloe Island (May 2008), 2008-05-02, 2008-05-10,20080502
Iguazú  (Juin 2007), Iguazú (June 2007), 2007-06-03, 2007-06-18,20070603
Copiapó (Février 2007), Copiapó (February 2007), 2007-02-15, 2007-02-19, 20070215
Uruguay  (Décembre 2006), Uruguay (Decembre 2006), 2006-12-25, 2006-12-31,20061225
Maroc (Juillet-Août 2004), Morocco (Summer 2004), 2004-07-01, 2004-08-05, 20040701
